DateTime,Week-ahead Forecast [MW],Day-ahead forecast [MW],Most recent forecast [MW],Measured & upscaled [MW],Monitored Capacity [MW],Active Decremental Bids [yes/no],Day-ahead forecast(11h00) [MW]
2021-12-01 00:00:00,1466.06,3558.2,3536.08,3390.06,4670.829000000005,No,3508.03
2021-12-01 00:15:00,1510.05,3566.38,3544.98,3433.99,4670.829000000005,No,3518.98
2021-12-01 00:30:00,1442.41,3572.99,3554,3482.05,4670.829000000005,No,3527.87
2021-12-01 00:45:00,1458.09,3578.06,3562.79,3486.22,4670.829000000005,No,3535.23
2021-12-01 01:00:00,1493.55,3580.62,3501.62,3498.25,4670.829000000005,No,3540.6
2021-12-01 01:15:00,1527.75,3584.12,3508.91,3527.48,4670.829000000005,No,3545.43
2021-12-01 01:30:00,1564.66,3586.84,3523.27,3542.31,4670.829000000005,No,3549.86
2021-12-01 01:45:00,1584.73,3587.4,3537.87,3540.91,4670.829000000005,No,3551.93
2021-12-01 02:00:00,1597.2,3586.57,3536.58,3531.04,4670.829000000005,No,3548.69
2021-12-01 02:15:00,1626.16,3586.96,3545.37,3560.98,4670.829000000005,No,3550.17
2021-12-01 02:30:00,1646.24,3585.39,3559.29,3569.41,4670.829000000005,No,3555.08
2021-12-01 02:45:00,1666.73,3589.83,3576.97,3576.69,4670.829000000005,No,3558.78
2021-12-01 03:00:00,1684.34,3593.28,3616.85,3578.76,4670.829000000005,No,3562.67
2021-12-01 03:15:00,1692.7,3594.44,3626.73,3555.06,4670.829000000005,No,3568.08
2021-12-01 03:30:00,1645.53,3593.92,3633.92,3574.75,4670.829000000005,No,3571.24
2021-12-01 03:45:00,1661.75,3593.24,3641.88,3611.33,4670.829000000005,No,3575.32
2021-12-01 04:00:00,1689.73,3592.74,3649.54,3632.46,4670.829000000005,No,3581.01
2021-12-01 04:15:00,1718.64,3589.91,3653,3645.24,4670.829000000005,No,3583.23
2021-12-01 04:30:00,1737.09,3584.43,3653.01,3671.16,4670.829000000005,No,3583.96
2021-12-01 04:45:00,1742.29,3578.86,3651,3670.31,4670.829000000005,No,3583.67
2021-12-01 05:00:00,1752.03,3572.33,3626.52,3690.92,4670.829000000005,No,3582.92
2021-12-01 05:15:00,1770.89,3561.59,3619.66,3665.89,4670.829000000005,No,3578.64
2021-12-01 05:30:00,1790.34,3549.55,3608.75,3680.14,4670.829000000005,No,3571.57
2021-12-01 05:45:00,1814.69,3540.73,3599.1,3668.9,4670.829000000005,No,3566.26
2021-12-01 06:00:00,1822.16,3530.92,3605.44,3671.56,4670.829000000005,No,3558.46
2021-12-01 06:15:00,1847.95,3509.54,3580.14,3685.38,4670.829000000005,No,3545.96
2021-12-01 06:30:00,1816.9,3466.99,3556.58,3664.41,4670.829000000005,No,3531.29
2021-12-01 06:45:00,1827.65,3411.44,3530.17,3637.02,4670.829000000005,No,3512.42
